107360514,For A Better Day (KSHMR Remix),Avicii,
107758100,What Do You Mean? (Backing Track),What Do You Mean,
70079770,All of Me,John Legend,
90326855,Time of Our Lives,Pitbull,
786778,I'm Yours,Jason Mraz,
94424876,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,
542012,Africa,Toto,
5404605,You Spin Me Round (Like a Record),Dead or Alive,
5404585,99 Red Balloons,Nena,
5404548,Down Under,Men at Work,
5404532,Party All the Time,Eddie Murphy,
7164311,Tarzan Boy (Original Hit Version),Baltimora,
5404573,I Can't Go for That (No Can Do) (Single Version),Daryl Hall & John Oates,
1080243,Working For The Weekend,Loverboy,
3394341,Mad About You (LP Version),Belinda Carlisle,
3130318,Gold,Spandau Ballet,
3130902,Love Is A Battlefield,Pat Benatar,
3102828,Alone (2000 Digital Remaster),Heart,
3905060,Two Hearts,Phil Collins,
70009191,Total Eclipse of the Heart,Bonnie Tyler,
4253016,Your Love,The Outfield,
6410074,St. Elmos Fire (Man In Motion),John Parr,
2194974,Coco Jamboo (Radio Version),Mr. President,
62724019,When I Was Your Man,Bruno Mars,
71403230,Timber,Pitbull,
12270341,Rain Over Me,Pitbull,
60813989,Don't Stop the Party,Pitbull,
3160142,Hot N Cold,Katy Perry,
14639815,Jesus He Knows Me (2007 Remastered Version),Genesis,
17943775,Xanadu (Xanadu Soundtrack Version),Olivia Newton-John,
68579060,Live It Up,Jennifer Lopez,
4225613,Listen To Your Heart,Roxette,
4225608,Dangerous,Roxette,
756276,She Drives Me Crazy,Fine Young Cannibals,
5094594,Good Thing,Fine Young Cannibals,
17680024,Time To Say Goodbye (Con Te Partirò),Sarah Brightman,
74472984,De ville en aventure,Breen Leboeuf,
100597158,Try Me (feat. Jennifer Lopez & Matoma),Jason Derulo,
17604596,Live It Up Tonight,Enrique Iglesias,
15722818,Jumpstart,These Kids Wear Crowns,
76002414,SURFBOARD,Cody Simpson,
80902804,Amnesia,5 Seconds Of Summer,
68618078,"Hungry Eyes (From ""Dirty Dancing"")",Movie Soundtrack All Stars,
3140671,Heartbreaker,Pat Benatar,
3140678,Hit Me With Your Best Shot,Pat Benatar,
1015071,Poison,Alice Cooper,
68097795,The Last Resort (Remastered),Eagles,
